transactionID,carrierID,customerID,amount,date
1,2,593,10000,2008-12-05 11:11:00
2,3,182,15.07,2005-05-23 13:43:12
3,1,681,16.81,2006-12-11 22:38:13
4,1,171,6.62,2006-01-06 12:27:23
5,1,758,15.83,2008-06-20 12:12:36
6,3,117,8.43,2009-06-09 06:28:38
7,1,811,7.14,2006-11-21 15:49:22
8,1,860,5.91,2008-08-04 09:35:41
9,2,108,8.5,2005-08-26 06:26:55
10,1,440,14.8,2008-08-02 06:37:20
11,1,992,11.98,2007-02-22 02:40:10
12,2,485,5.29,2006-05-08 13:18:54
13,3,108,14.29,2005-04-20 18:18:08
14,2,96,8.08,2009-03-11 19:19:38
15,1,574,18.77,2008-05-20 10:56:02
16,3,562,15.05,2008-01-23 10:44:34
17,3,160,5.28,2006-06-01 14:22:23
18,2,184,16.08,2007-12-01 10:43:59
19,2,92,19.62,2006-11-20 08:49:04
20,2,946,19.86,2005-07-16 14:19:32
21,2,269,15.93,2009-07-06 19:21:38
22,3,844,17.32,2005-08-22 06:24:39
23,2,397,10.44,2009-12-01 12:27:34
24,1,110,11.15,2009-06-10 10:11:15
25,2,938,12.37,2008-10-02 10:04:49
26,3,585,14.75,2008-10-13 01:33:39
27,2,402,10.79,2005-08-19 21:04:12
28,1,109,16.94,2009-04-19 10:32:39
29,3,702,16.08,2007-06-22 12:02:46
30,2,180,7.08,2007-07-28 18:50:22
31,2,911,18.83,2008-06-04 15:52:07
32,2,123,9.34,2009-09-09 00:02:41
33,1,341,15.15,2007-05-24 17:22:44
34,2,29,11.04,2007-08-25 19:37:54
35,3,518,11.88,2008-05-31 17:54:15
36,3,413,18.67,2005-05-16 08:32:16
37,1,801,9.23,2005-06-06 17:40:24
38,2,273,8.05,2005-12-21 02:58:40
39,3,409,15.03,2008-01-07 08:21:02
40,3,621,18.71,2008-09-29 04:45:56
41,3,988,12.43,2008-12-16 18:16:58
42,1,461,16.24,2007-03-31 00:37:50
43,1,644,7.91,2008-05-07 07:23:54
44,2,939,6.07,2009-04-09 04:53:25
45,3,311,15.97,2007-05-09 19:54:53
46,1,498,17.25,2006-09-13 17:01:30
47,1,193,12.17,2009-09-20 06:08:27
48,3,543,16.99,2008-12-25 23:39:24
49,3,476,13.64,2009-12-12 10:39:59
50,2,857,11.62,2008-09-27 22:44:18
51,2,788,12.75,2008-02-01 18:52:10
52,2,723,15.53,2009-05-05 03:27:30
53,3,260,14.71,2009-08-22 15:02:34
54,1,131,9.43,2005-12-13 21:00:51
55,2,179,15.1,2007-07-17 10:50:32
56,3,334,11.39,2005-06-10 03:21:49
57,1,420,11.97,2006-02-05 05:34:18
58,1,527,11.54,2008-04-29 04:42:12
59,1,19,10.08,2009-05-08 08:10:54
60,2,223,10.64,2005-09-29 06:58:27
61,3,11,15.85,2006-07-30 01:02:21
62,3,594,6.44,2007-02-20 21:21:21
63,3,297,16.79,2006-09-02 20:37:58
64,3,371,8.79,2006-02-05 07:54:15
65,3,724,19.7,2006-08-21 16:49:35
66,3,975,19.37,2007-11-03 16:21:35
67,3,453,17.44,2008-12-10 01:43:41
68,2,638,6.46,2006-05-30 08:55:53
69,1,829,6.06,2006-07-24 20:49:33
70,2,899,6.63,2006-11-05 01:56:33
71,2,497,16.58,2009-06-18 02:12:47
72,2,949,13.07,2009-06-05 15:03:52
73,2,20,16.87,2005-10-08 23:12:10
74,2,786,10.3,2005-07-18 16:35:37
75,2,79,14.76,2008-03-29 02:29:03
76,2,404,17.5,2006-08-01 12:03:34
77,3,855,9.6,2005-04-04 16:38:59
78,3,898,16.46,2006-01-06 22:20:33
79,3,738,14.77,2007-03-09 00:02:12
80,2,657,19.14,2006-12-05 07:59:58
81,3,274,11.19,2006-07-25 04:19:07
82,1,340,9.58,2005-12-18 21:46:42
83,3,866,11.31,2005-07-30 13:33:55
84,1,793,10.88,2008-07-26 17:19:45
85,2,956,11.75,2009-02-24 19:25:16
86,3,697,5.32,2008-07-17 05:43:57
87,1,613,6.66,2009-07-23 10:51:14
88,1,313,5.35,2006-05-02 19:16:23
89,3,785,8.73,2009-03-24 23:38:38
90,1,150,16.31,2005-05-30 01:46:17
91,2,833,8.81,2006-10-14 08:59:35
92,3,478,13.06,2005-09-08 22:33:30
93,1,854,9.65,2008-12-08 00:39:12
94,3,837,9.28,2005-05-05 12:45:09
95,2,40,16.22,2005-06-01 18:55:11
96,1,548,19.24,2006-12-30 08:36:02
97,2,644,5.15,2007-02-20 19:00:08
98,1,964,9.1,2006-09-08 10:32:04
99,1,807,5.38,2005-07-24 23:00:01
100,3,338,9.61,2009-01-29 18:40:15
101,2,396,10.53,2008-08-29 07:15:09
102,1,87,10.02,2007-06-11 16:39:48
103,1,942,17.91,2007-03-10 21:25:11
104,3,684,14.95,2006-12-02 20:21:43
105,2,841,9.91,2005-07-10 20:30:24
106,2,12,14.66,2009-05-13 08:02:09
107,1,997,9.31,2005-09-26 21:03:40
108,1,269,8.39,2008-09-10 10:43:00
109,3,153,15.91,2008-08-11 09:47:01
110,3,21,8.06,2008-03-21 05:28:19
111,1,983,6.74,2007-08-19 01:40:24
112,1,134,9.12,2005-09-28 05:16:48
113,3,968,6.44,2009-11-29 19:09:41
114,2,694,14.39,2009-07-15 02:18:14
115,1,563,7.89,2008-03-30 07:50:16
116,2,708,6.12,2008-12-04 13:41:49
117,1,737,17.6,2005-06-23 18:35:54
118,3,688,5.26,2006-12-03 09:21:37
119,2,264,7.29,2007-07-10 12:49:17
